Time	Water column behaviour	Prey present	Prey abundance	Foraging behavior	Cons/Hetero	Cons/Hetero abundance	Direction	Comments
0.00	Flapping (F)							GMT:yyyy-mm-dd_HH:MM:SS_CAM:2017-12-23_18:14:37
0.03	Flapping (F)							
0.07	Flapping (F)							
0.10	Flapping (F)							
0.13	Flapping (F)							
0.17	Flapping (F)							
0.20	Flapping (F)							
0.23	Flapping (F)							
0.27	Flapping (F)							
0.30	Flapping (F)							
0.33	Flapping (F)							
0.37	Flapping (F)							
0.40	Flapping (F)							
0.43	Flapping (F)							
0.47	Flapping (F)							
0.50	Flapping (F)							
0.53	Flapping (F)							
0.57	Flapping (F)							
0.60	Flapping (F)							
0.63	Flapping (F)							
0.67	Flapping (F)							
0.70	Flapping (F)							
0.73	Flapping (F)							
0.77	Flapping (F)							
0.80	Flapping (F)							
0.83	Flapping (F)							
0.87	Flapping (F)							
0.90	Flapping (F)							
0.93	Flapping (F)							
0.97	Flapping (F)							
1.00	Flapping (F)							
1.03	Flapping (F)							
1.07	Flapping (F)							
1.10	Flapping (F)							
1.13	Flapping (F)							
1.17	Flapping (F)							
1.20	Flapping (F)							
1.23	Flapping (F)							
1.27	Flapping (F)							
1.30	Flapping (F)							
1.33	Flapping (F)							
1.37	Flapping (F)							
1.40	Flapping (F)							
1.43	Flapping (F)							
1.47	Flapping (F)							
1.50	Flapping (F)							
1.53	Flapping (F)							
1.57	Flapping (F)							
1.60	Flapping (F)							
1.63	Flapping (F)							
1.67	Flapping (F)							
1.70	Flapping (F)							
1.73	Flapping (F)							
1.77	Flapping (F)							
1.80	Flapping (F)							
1.83	Flapping (F)							
1.87	Flapping (F)							
1.90	Flapping (F)							
1.93	Flapping (F)							
1.97	Flapping (F)							
2.00	Flapping (F)							
2.03	Flapping (F)							
2.07	Flapping (F)							
2.10	Flapping (F)							
2.13	Flapping (F)							
2.17	Flapping (F)							
2.20	Flapping (F)							
2.23	Flapping (F)							
2.27	Flapping (F)							
2.30	Flapping (F)							
2.33	Flapping (F)							
2.37	Flapping (F)							
2.40	Flapping (F)							
2.43	Flapping (F)							
2.47	Flapping (F)							
2.50	Flapping (F)							
2.53	Flapping (F)							
2.57	Flapping (F)							
2.60	Flapping (F)							
2.63	Flapping (F)							
2.67	Flapping (F)							
2.70	Flapping (F)							
2.73	Flapping (F)							
2.77	Flapping (F)							
2.80	Flapping (F)							
2.83	Flapping (F)							
2.87	Flapping (F)							
2.90	Flapping (F)							
2.93	Flapping (F)							
2.97	Flapping (F)							
3.00	Flapping (F)							
3.03	Flapping (F)							
3.07	Flapping (F)							
3.10	Flapping (F)							
3.13	Flapping (F)							
3.17	Flapping (F)							
3.20	Flapping (F)							
3.23	Flapping (F)							
3.27	Flapping (F)							
3.30	Flapping (F)							
3.33	Flapping (F)							
3.37	Flapping (F)							
3.40	Flapping (F)							
3.43	Flapping (F)							
3.47	Flapping (F)							
3.50	Flapping (F)							
3.53	Flapping (F)							
3.57	Flapping (F)							
3.60	Flapping (F)							
3.63	Flapping (F)							
3.67	Flapping (F)							
3.70	Flapping (F)							
3.73	Flapping (F)							
3.77	Flapping (F)							
3.80	Flapping (F)							
3.83	Flapping (F)							
3.87	Flapping (F)							
3.90	Flapping (F)							
3.93	Flapping (F)							
3.97	Flapping (F)							
4.00	Flapping (F)							
4.03	Flapping (F)							
4.07	Flapping (F)							
4.10	Flapping (F)							
4.13	Flapping (F)							
4.17	Flapping (F)							
4.20	Flapping (F)							
4.23	Flapping (F)							
4.27	Flapping (F)							
4.30	Flapping (F)							
4.33	Flapping (F)							
4.37	Flapping (F)							
4.40	Flapping (F)							
4.43	Flapping (F)							
4.47	Flapping (F)							
4.50	Flapping (F)							
4.53	Flapping (F)							
4.57	Flapping (F)							
4.60	Flapping (F)							
4.63	Flapping (F)							
4.67	Flapping (F)							
4.70	Flapping (F)							
4.73	Flapping (F)							
4.77	Flapping (F)							
4.80	Flapping (F)							
4.83	Flapping (F)							
4.87	Flapping (F)							
4.90	Flapping (F)							
4.93	Flapping (F)							
4.97	Flapping (F)							
5.00	Flapping (F)							
5.03	Flapping (F)							
5.07	Gliding (G)							
5.10	Gliding (G)							
5.13	Gliding (G)							
5.17	Gliding (G)							
5.20	Gliding (G)							
5.23	Gliding (G)							
5.27	Gliding (G)							
5.30	Gliding (G)							
5.33	Gliding (G)							
5.37	Gliding (G)							
5.40	Gliding (G)							
5.43	Gliding (G)							
5.47	Gliding (G)							
5.50	Gliding (G)							
5.53	Gliding (G)							
5.57	Gliding (G)							
5.60	Gliding (G)							
5.63	Gliding (G)							
5.67	Gliding (G)							
5.70	Gliding (G)							
5.73	Gliding (G)							
5.77	Flapping (F)							
5.80	Flapping (F)							
5.83	Flapping (F)							
5.87	Flapping (F)							
5.90	Flapping (F)							
5.93	Flapping (F)							
5.97	Flapping (F)							
6.00	Flapping (F)							
6.03	Flapping (F)							
6.07	Flapping (F)							
6.10	Flapping (F)							
6.13	Flapping (F)							
6.17	Flapping (F)							
6.20	Flapping (F)							
6.23	Flapping (F)							
6.27	Flapping (F)							
6.30	Flapping (F)							
6.33	Flapping (F)							
6.37	Flapping (F)							
6.40	Flapping (F)							
6.43	Flapping (F)							
6.47	Flapping (F)							
6.50	Flapping (F)							
6.53	Flapping (F)							
6.57	Flapping (F)							
6.60	Flapping (F)							
6.63	Flapping (F)							
6.67	Flapping (F)							
6.70	Flapping (F)							
6.73	Flapping (F)							
6.77	Flapping (F)							
6.80	Flapping (F)							
6.83	Flapping (F)							
6.87	Flapping (F)							
6.90	Flapping (F)							
6.93	Flapping (F)							
6.97	Flapping (F)							
7.00	Flapping (F)							
7.03	Flapping (F)							
7.07	Flapping (F)							
7.10	Flapping (F)							
7.13	Flapping (F)							
7.17	Flapping (F)							
7.20	Flapping (F)							
7.23	Flapping (F)							
7.27	Flapping (F)							
7.30	Flapping (F)							
7.33	Flapping (F)							
7.37	Flapping (F)							
7.40	Flapping (F)							
7.43	Flapping (F)							
7.47	Flapping (F)							
7.50	Flapping (F)							
7.53	Flapping (F)							
7.57	Flapping (F)							
7.60	Flapping (F)							
7.63	Flapping (F)							
7.67	Flapping (F)							
7.70	Gliding (G)							
7.73	Gliding (G)							
7.77	Gliding (G)							
7.80	Gliding (G)							
7.83	Gliding (G)							
7.87	Gliding (G)							
7.90	Gliding (G)							
7.93	Gliding (G)							
7.97	Gliding (G)							
8.00	Gliding (G)							
8.03	Gliding (G)							
8.07	Gliding (G)							
8.10	Gliding (G)							
8.13	Gliding (G)							
8.17	Gliding (G)							
8.20	Gliding (G)							
8.23	Gliding (G)							
8.27	Gliding (G)							
8.30	Gliding (G)							
8.33	Gliding (G)							
8.37	Gliding (G)							
8.40	Gliding (G)							
8.43	Gliding (G)							
8.47	Gliding (G)							
8.50	Gliding (G)							
8.53	Gliding (G)							
8.57	Gliding (G)							
8.60	Gliding (G)							
8.63	Gliding (G)							
8.67	Gliding (G)							
8.70	Gliding (G)							
8.73	Gliding (G)							
8.77	Gliding (G)							
8.80	Gliding (G)							
8.83	Gliding (G)							
8.87	Gliding (G)							
8.90	Gliding (G)							
8.93	Gliding (G)							
8.97	Gliding (G)							
9.00	Gliding (G)							
9.03	Gliding (G)							
9.07	Gliding (G)							
9.10	Gliding (G)							
9.13	Gliding (G)							
9.17	Gliding (G)							
9.20	Gliding (G)							
9.23	Gliding (G)							
9.27	Gliding (G)							
9.30	Gliding (G)							
9.33	Gliding (G)							
9.37	Gliding (G)							
9.40	Gliding (G)							
9.43	Gliding (G)							
9.47	Gliding (G)							
9.50	Gliding (G)							
9.53	Gliding (G)							
9.57	Gliding (G)							
9.60	Gliding (G)							
9.63	Gliding (G)							
9.67	Gliding (G)							
9.70	Gliding (G)							
9.73	Gliding (G)							
9.77	Gliding (G)							
9.80	Gliding (G)							
9.83	Gliding (G)							
9.87	Gliding (G)							
9.90	Gliding (G)							
9.93	Gliding (G)							
9.97	Gliding (G)							
10.00	Gliding (G)							
10.03	Gliding (G)							
10.07	Gliding (G)							
10.10	Gliding (G)							
10.13	Gliding (G)							
10.17	Gliding (G)							
10.20	Gliding (G)							
10.23	Gliding (G)							
10.27	Gliding (G)							
10.30	Gliding (G)							
10.33	Gliding (G)							
10.37	Gliding (G)							
10.40	Gliding (G)							
10.43	Gliding (G)							
10.47	Gliding (G)							
10.50	Gliding (G)							
10.53	Gliding (G)							
10.57	Gliding (G)							
10.60	Gliding (G)							
10.63	Gliding (G)							
10.67	Gliding (G)							
10.70	Gliding (G)							
10.73	Gliding (G)							
10.77	Gliding (G)							
10.80	Gliding (G)							
10.83	Gliding (G)							
10.87	Gliding (G)							
10.90	Gliding (G)							
10.93	Gliding (G)							
10.97	Gliding (G)							
11.00	Gliding (G)							
11.03	Gliding (G)							
11.07	Gliding (G)							
11.10	Gliding (G)							
11.13	Gliding (G)							
11.17	Gliding (G)							
11.20	Gliding (G)							
11.23	Gliding (G)							
11.27	Gliding (G)							
11.30	Gliding (G)							
11.33	Gliding (G)							
11.37	Gliding (G)							
11.40	Gliding (G)							
11.43	Gliding (G)							
11.47	Gliding (G)							
11.50	Gliding (G)							
11.53	Gliding (G)							
11.57	Gliding (G)							
11.60	Gliding (G)							
11.63	Gliding (G)							
11.67	Gliding (G)							
11.70	Gliding (G)							
11.73	Gliding (G)							
11.77	Gliding (G)							
11.80	Gliding (G)							
11.83	Gliding (G)							
11.87	Gliding (G)							
11.90	Gliding (G)							
11.93	Gliding (G)							
11.97	Gliding (G)							
12.00	Gliding (G)							
12.03	Gliding (G)							
12.07	Gliding (G)							
12.10	Gliding (G)							
12.13	Gliding (G)							
12.17	Gliding (G)							
12.20	Gliding (G)							
12.23	Gliding (G)							
12.27	Gliding (G)							
12.30	Gliding (G)							
12.33	Gliding (G)							
12.37	Gliding (G)							
12.40	Gliding (G)							
12.43	Gliding (G)							
12.47	Gliding (G)							
12.50	Gliding (G)							
12.53	Gliding (G)							
12.57	Gliding (G)							
12.60	Gliding (G)							
12.63	Gliding (G)							
12.67	Gliding (G)							
12.70	Gliding (G)							
12.73	Gliding (G)							
12.77	Gliding (G)							
12.80	Gliding (G)							
12.83	Gliding (G)							
12.87	Gliding (G)							
12.90	Gliding (G)							
12.93	Gliding (G)							
12.97	Gliding (G)							
13.00	Gliding (G)							
13.03	Gliding (G)							
13.07	Gliding (G)							
13.10	Gliding (G)							
13.13	Gliding (G)							
13.17	Gliding (G)							
13.20	Gliding (G)							
13.23	Gliding (G)							
13.27	Gliding (G)							
13.30	Gliding (G)							
13.33	Gliding (G)							
13.37	Gliding (G)							
13.40	Gliding (G)							
13.43	Gliding (G)							
13.47	Gliding (G)							
13.50	Gliding (G)							
13.53	Gliding (G)							
13.57	Gliding (G)							
13.60	Gliding (G)							
13.63	Gliding (G)							
13.67	Gliding (G)							
13.70	Gliding (G)							
13.73	Gliding (G)							
13.77	Gliding (G)							
13.80	Gliding (G)							
13.83	Gliding (G)							
13.87	Gliding (G)							
13.90	Gliding (G)							
13.93	Gliding (G)							
13.97	Gliding (G)							
14.00	Gliding (G)							
14.03	Gliding (G)							
14.07	Gliding (G)							
14.10	Gliding (G)							
14.13	Gliding (G)							
14.17	Flapping (F)							
14.20	Flapping (F)							
14.23	Flapping (F)							
14.27	Flapping (F)							
14.30	Flapping (F)							
14.33	Flapping (F)							
14.37	Flapping (F)							
14.40	Flapping (F)							
14.43	Flapping (F)							
14.47	Flapping (F)							
14.50	Flapping (F)							
14.53	Flapping (F)							
14.57	Flapping (F)							
14.60	Flapping (F)							
14.63	Flapping (F)							
14.67	Flapping (F)							
14.70	Flapping (F)							
14.73	Flapping (F)							
14.77	Flapping (F)							
14.80	Flapping (F)							
14.83	Flapping (F)							
14.87	Flapping (F)							
14.90	Flapping (F)							
14.93	Flapping (F)							
14.97	Flapping (F)							
15.00	Flapping (F)							
15.03	Flapping (F)							
15.07	Flapping (F)							
15.10	Flapping (F)							
15.13	Flapping (F)							
15.17	Flapping (F)							
15.20	Flapping (F)							
15.23	Flapping (F)							
15.27	Flapping (F)							
15.30	Flapping (F)							
15.33	Flapping (F)							
15.37	Flapping (F)							
15.40	Flapping (F)							
15.43	Flapping (F)							
15.47	Flapping (F)							
15.50	Flapping (F)							
15.53	Flapping (F)							
15.57	Flapping (F)							
15.60	Flapping (F)							
15.63	Flapping (F)							
15.67	Flapping (F)							
15.70	Flapping (F)							
15.73	Flapping (F)							
15.77	Flapping (F)							
15.80	Flapping (F)							
15.83	Flapping (F)							
15.87	Flapping (F)							
15.90	Flapping (F)							
15.93	Flapping (F)							
15.97	Flapping (F)							
16.00	Flapping (F)							
16.03	Flapping (F)							
16.07	Flapping (F)							
16.10	Flapping (F)							
16.13	Flapping (F)							
16.17	Flapping (F)							
16.20	Flapping (F)							
16.23	Flapping (F)							
16.27	Flapping (F)							
16.30	Flapping (F)							
16.33	Flapping (F)							
16.37	Flapping (F)							
16.40	Flapping (F)							
16.43	Flapping (F)							
16.47	Flapping (F)							
16.50	Flapping (F)							
16.53	Flapping (F)							
16.57	Flapping (F)							
16.60	Flapping (F)							
16.63	Flapping (F)							
16.67	Flapping (F)							
16.70	Flapping (F)							
16.73	Flapping (F)							
16.77	Flapping (F)							
16.80	Flapping (F)							
16.83	Flapping (F)							
16.87	Flapping (F)							
16.90	Flapping (F)							
16.93	Flapping (F)							
16.97	Flapping (F)							
17.00	Flapping (F)							
17.03	Flapping (F)							
17.07	Flapping (F)							
17.10	Flapping (F)							
